index,movie_id,title,genres,overview,keywords,runtime,origin_country,popularity,vote_count,vote_average,production_companies,release_date,budget,cast,director
308,497,The Green Mile,"['Fantasy', 'Drama', 'Crime']","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","['mentally disabled', 'based on novel or book', 'southern usa', 'psychopath', 'death row', 'jail guard', 'supernatural', 'great depression', 'prison guard', 'jail', 'electric chair', 'torture', 'magic realism', 'healing', 'grim', '1930s', 'abuse of power', 'depressed', 'ambiguous', 'authoritarian', 'cruel', 'hopeful']",189,['US'],14.4913,18212,8.504,"['Castle Rock Entertainment', 'Darkwoods Productions']",1999-12-10,60000000,"['Tom Hanks', 'David Morse', 'Bonnie Hunt', 'Michael Clarke Duncan']",Frank Darabont
309,499,Cléo from 5 to 7,['Drama'],"Agnès Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman’s life, Cléo from 5 to 7 is a spirited mix of vivid vérité and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.","['individual', 'paris, france', 'singer', 'cancer', 'black and white', 'woman director', 'day in a life', 'algerian war (1954-62)']",90,['FR'],1.7484,721,7.7,"['Rome-Paris Films', 'Ciné-Tamaris']",1962-04-11,0,"['Corinne Marchand', 'Antoine Bourseiller', 'Dominique Davray', 'Dorothée Blanck']",Agnès Varda
310,500,Reservoir Dogs,"['Crime', 'Thriller']","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.","['escape', 'jewelry', 'psychopath', 'traitor', 'ear', 'heist', 'thief', 'betrayal', 'plan gone wrong', 'gang', 'nonlinear timeline', 'warehouse', 'told in flashback', 'heist gone wrong', 'botched robbery', 'foreshadowing', 'rendezvous', 'iconic', 'uneasy alliance', 'rag tag group', 'based on short']",99,['US'],9.9413,14716,8.119,"['Live Entertainment', 'Dog Eat Dog Productions']",1992-09-02,1200000,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",Quentin Tarantino
311,501,Grizzly Man,['Documentary'],"Werner Herzog's documentary film about the ""Grizzly Man"" Timothy Treadwell and what the thirteen summers in a National Park in Alaska were like in one man's attempt to protect the grizzly bears. The film is full of unique images and a look into the spirit of a man who sacrificed himself for nature.","['self-abandonment', 'life and death', 'unsociability', 'grizzly bear', 'human animal relationship', 'interview', 'biography', 'national park', 'historical figure', 'alaska', 'animal rights', 'wildlife', 'ecology', 'nature', 'archive footage', 'semi-biographical', 'dedication', 'last interview', 'bears', 'repurposed footage']",103,['US'],1.7518,872,7.544,"['Discovery Docs', 'Real Big Production', 'Lions Gate Films']",2005-07-28,0,"['Timothy Treadwell', 'Warren Queeney', 'Willy Fulton', 'Sam Egli']",Werner Herzog
312,502,Fail Safe,"['Thriller', 'Drama', 'War']",Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.,"['new york city', 'usa president', 'general', 'atomic bomb', 'missile', 'cold war', 'interpreter', 'pentagon', 'bunker', 'hydrogen bomb', 'strategic air command', 'bomber', 'fighter pilot', 'destroy', 'moscow, russia', 'air attack', 'airborne attack', 'armed attack', 'ww3']",112,['US'],4.1481,425,7.814,['Columbia Pictures'],1964-10-07,0,"['Henry Fonda', 'Walter Matthau', 'Fritz Weaver', 'Larry Hagman']",Sidney Lumet
313,503,Poseidon,"['Adventure', 'Action', 'Drama', 'Thriller']","A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.","[""new year's eve"", 'daughter', 'self-abandonment', 'ship', 'fire', 'drowning', 'cataclysm', 'escape', 'loss of loved one', 'shipwreck', 'atlantic ocean', 'ball', 'giant wave', 'blackout', 'single', 'remake', 'disaster', 'capsized ship', 'disaster movie', 'dramatic', 'excited']",98,['US'],2.9358,2193,5.868,"['Virtual Studios', 'Radiant Productions', 'Next Entertainment', 'Irwin Allen Productions', 'Synthesis Entertainment', 'Warner Bros. Pictures']",2006-05-03,160000000,"['Josh Lucas', 'Kurt Russell', 'Jacinda Barrett', 'Richard Dreyfuss']",Wolfgang Petersen
314,504,Monster,"['Crime', 'Drama']","An emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes America's first female serial killer.","['death penalty', 'prostitute', 'rape', 'sexual abuse', 'motel', 'based on true story', 'murder', 'betrayal', 'serial killer', 'poverty', 'prostitution', 'heartbreak', 'mental illness', 'woman director', 'female serial killer']",110,['US'],4.2081,2394,7.214,"['Media 8 Entertainment', 'DEJ Productions', 'K/W Productions', 'Denver & Delilah Productions', 'VIP Medienfonds 2', 'MDP Worldwide', 'Taurus Film']",2003-12-24,8000000,"['Charlize Theron', 'Christina Ricci', 'Bruce Dern', 'Lee Tergesen']",Patty Jenkins
315,506,Marnie,"['Thriller', 'Mystery', 'Romance', 'Crime']","Marnie is a thief, a liar, and a cheat. When her new boss, Mark Rutland, catches on to her routine kleptomania, she finds herself being blackmailed.","['prostitute', 'rape', 'philadelphia, pennsylvania', 'sexual abuse', 'post-traumatic stress disorder (ptsd)', 'chase', 'sexual frustration', 'clerk', 'horseback riding', 'suicide attempt', 'in love with enemy', 'blackmail', 'horse race', 'fetish', 'lie', ""women's sexual identity"", 'new identity', 'kleptomania', 'baltimore, usa', 'horse', 'frigidity', 'honeymoon', 'riding accident', 'cruise', 'psychology', 'self-defense', 'fetishism', 'cowardliness', 'the color red', 'man saves troubled woman']",130,['US'],1.64,1162,7.136,"['Alfred J. Hitchcock Productions', 'Universal Pictures']",1964-07-17,2135000,"['Tippi Hedren', 'Sean Connery', 'Diane Baker', 'Martin Gabel']",Alfred Hitchcock
316,507,Killing Zoe,"['Action', 'Crime', 'Drama', 'Thriller']","Zed is an American vault-cracker who travels to Paris to meet up with his old friend Eric. Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.","['friendship', 'prostitute', 'robbery', 'drug abuse', 'paris, france', 'jazz', 'aids', 'kidnapping', 'hostage', 'bank', 'heroin', 'junkie', 'night life', 'vault', 'bank robber', 'murder', 'drugs', 'bank robbery', 'illegal prostitution', 'hoodlum']",96,['US'],1.3399,345,6.2,"['PFG Entertainment', 'Davis Films', 'Live Entertainment']",1993-10-01,1500000,"['Eric Stoltz', 'Julie Delpy', 'Jean-Hugues Anglade', 'Tai Thai']",Roger Avary
317,508,Love Actually,"['Comedy', 'Romance', 'Drama']",Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London.,"['london, england', 'usa president', 'rock star', 'school performance', 'love at first sight', 'holiday', 'war on terror', 'marseille, france', 'office', 'christmas party', 'language barrier', 'prime minister', 'press conference', 'bars and restaurants', ""valentine's day"", 'heathrow airport', 'multiple storylines', 'christmas', 'lighthearted']",135,['GB'],6.7786,6995,7.105,"['Working Title Films', 'DNA Films', 'StudioCanal']",2003-09-07,40000000,"['Hugh Grant', 'Alan Rickman', 'Emma Thompson', 'Liam Neeson']",Richard Curtis
318,509,Notting Hill,"['Romance', 'Comedy']",London bookstore owner William Thacker's quiet life turns upside down when a chance encounter with famous actress Anna Scott sparks an unlikely romance challenged by their vastly different worlds.,"['new love', 'london, england', 'bookshop', 'roommates', 'press conference', 'paparazzi', 'interview', 'romcom', 'birthday party', 'fame', 'falling in love', 'group of friends', 'tabloid', ""valentine's day"", 'movie star', 'social differences', 'movie set', 'dinner party', 'dating woes', 'wealth differences', 'awkward situation', 'movie theater', 'unexpected romance', 'best friends', 'unlikely romance', 'bookstore owner', 'famous actress', 'charming romances and delightful chemistry', 'bookshop owner']",124,['GB'],10.7464,6357,7.265,"['Working Title Films', 'Notting Hill Pictures', 'Duncan Kenworthy Productions', 'PolyGram Filmed Entertainment']",1999-05-21,42000000,"['Julia Roberts', 'Hugh Grant', 'Gina McKee', 'Tim McInnerny']",Roger Michell
319,510,One Flew Over the Cuckoo's Nest,['Drama'],"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","['mentally disabled', 'friendship', 'based on novel or book', 'nurse', 'lunatic asylum', 'insane asylum', 'oregon, usa', 'hospital', 'medication', 'female villain', 'shock treatment', 'depressing', 'informative']",133,['US'],7.2608,10856,8.413,"['Fantasy Films', 'United Artists']",1975-11-19,3000000,"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher', 'Danny DeVito']",Miloš Forman
320,512,Scoop,"['Comedy', 'Mystery']","An American journalism student in London scoops a big story, and begins an affair with an aristocrat as the incident unfurls.","['daughter', 'newspaper', 'journalist', 'prostitute', 'drowning', 'funeral', 'upper class', 'afterlife', 'magic', 'tarot cards', 'suspicion of murder', 'investigation', 'music instrument', 'magic show', 'lordship', 'headline', 'swimming pool', 'wealth', 'murder', 'american', 'united kingdom']",96,"['US', 'GB']",1.7559,1662,6.592,"['BBC Film', 'Ingenious Media', 'Phoenix Wiley Productions', 'Jelly Roll Productions']",2006-07-27,4000000,"['Scarlett Johansson', 'Woody Allen', 'Hugh Jackman', 'Ian McShane']",Woody Allen
321,521,Dial M for Murder,"['Thriller', 'Crime']","When American writer Mark Halliday visits the very married Margot Wendice in London, he unknowingly sets off a chain of blackmail and murder.","['adultery', 'london, england', 'jealousy', 'blackmail', 'detective', 'tennis player', 'marriage', 'letter', 'love', 'murder', 'theft', 'husband', 'murder plot', 'crime fiction writer', 'keys']",105,['US'],1.9271,2700,8.018,['Warner Bros. Pictures'],1954-05-29,1400000,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']",Alfred Hitchcock
322,522,Ed Wood,"['Comedy', 'Drama', 'History']","The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.","['individual', 'taxi', 'fortune teller', 'transsexuality', 'transvestite', 'movie business', 'drug addiction', 'boxer', 'oddball', 'celebrity', 'morphine', 'los angeles, california', 'black and white', 'suburb', 'theremin', 'handgun', 'trick or treating', '1950s']",127,['US'],1.5196,2392,7.491,"['Touchstone Pictures', 'Tim Burton Productions', 'Di Novi Pictures']",1994-09-28,18000000,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker', 'Patricia Arquette']",Tim Burton
